,Company,Valuation ($B),Date Joined,Country,City,Industry,Select Inverstors,Founded Year,Total Raised,Investors Count,Deal Terms,Date,Month,Year,Years Taken to become Unicorn
0,Bytedance,140,2017-04-07 00:00:00,China,Beijing,Artificial Intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",2012,7440000000,28,8,4,7,2017,5
1,SpaceX,100.3,2012-12-01 00:00:00,United States,Hawthorne,Other,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",2002,6874000000,29,12,12,1,2012,10
2,Stripe,95,2014-01-23 00:00:00,United States,San Francisco,Fintech,"Khosla Ventures, LowercaseCapital, capitalG",2010,2901000000,39,12,1,23,2014,4
3,Klarna,45.6,2011-12-12 00:00:00,Sweden,Stockholm,Fintech,"Institutional Venture Partners, Sequoia Capital, General Atlantic",2005,3472000000,56,13,12,12,2011,6
4,Epic Games,42,2018-10-26 00:00:00,United States,Cary,Other,"Tencent Holdings, KKR, Smash Ventures",1991,4377000000,25,5,10,26,2018,27
5,Canva,40,2018-01-08 00:00:00,Australia,Surry Hills,Internet software & services,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",2012,571260000,26,8,1,8,2018,6
6,Checkout.com,40,2019-05-02 00:00:00,United Kingdom,London,Fintech,"Tiger Global Management, Insight Partners, DST Global",2012,1830000000,15,4,5,2,2019,7
7,Instacart,39,2014-12-30 00:00:00,United States,San Francisco,"Supply chain, logistics, & delivery","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",2012,2686000000,29,12,12,30,2014,2
8,Databricks,38,2019-02-05 00:00:00,United States,San Francisco,Data management & analytics,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",2013,3497000000,29,8,2,5,2019,6
9,Revolut,33,2018-04-26 00:00:00,United Kingdom,London,Fintech,"index Ventures, DST Global, Ribbit Capital",2015,1716000000,31,6,4,26,2018,3
11,Fanatics,27,2012-06-06 00:00:00,United States,Jacksonville,E-commerce & direct-to-consumer,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",1995,4190000000,21,10,6,6,2012,17
12,Chime,25,2019-03-05 00:00:00,United States,San Francisco,Fintech,"Forerunner Ventures, Crosslink Capital, Homebrew",2013,2599000000,24,9,3,5,2019,6
13,BYJU's,21,2017-07-25 00:00:00,India,Bengaluru,Edtech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",2008,5183000000,45,19,7,25,2017,9
14,Xiaohongshu,20,2016-03-31 00:00:00,China,Shanghai,E-commerce & direct-to-consumer,"GGV Capital, ZhenFund, Tencent",2013,917500000,9,3,3,31,2016,3
15,J&T Express,20,2021-04-07 00:00:00,Indonesia,Jakarta,"Supply chain, logistics, & delivery","Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",2015,4653000000,9,3,4,7,2021,6
16,Miro,17.5,2022-01-05 00:00:00,United States,San Francisco,Internet software & services,"Accel, AltaIR Capital, Technology Crossover Ventures",2011,475000000,18,1,1,5,2022,11
17,Yuanfudao,15.5,2017-05-31 00:00:00,China,Beijing,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital",2012,4044000000,18,7,5,31,2017,5
18,DJI Innovations,15,2015-01-23 00:00:00,China,Shenzhen,Hardware,"Accel Partners, Sequoia Capital",2006,1135000000,7,3,1,23,2015,9
19,SHEIN,15,2018-07-03 00:00:00,China,Shenzhen,E-commerce & direct-to-consumer,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",2008,553360000,8,3,7,3,2018,10
20,goPuff,15,2020-10-08 00:00:00,United States,Philadelphia,E-commerce & direct-to-consumer,"Accel, Softbank Group, Anthos Capital",2013,3397000000,16,4,10,8,2020,7
21,Yuanqi Senlin,15,2020-03-01 00:00:00,China,Beijing,Consumer & retail,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",2016,721310000,13,3,3,1,2020,4
22,Ripple,15,2019-12-20 00:00:00,United States,San Francisco,Fintech,"IDG Capital, Venture51, Lightspeed Venture Partners",2012,293900000,34,5,12,20,2019,7
23,Plaid,13.4,2018-12-11 00:00:00,United States,San Francisco,Fintech,"New Enterprise Associates, Spar Capital, Index Ventures",2012,734800000,24,5,12,11,2018,6
24,OpenSea,13.3,2021-07-20 00:00:00,United States,New York,E-commerce & direct-to-consumer,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",2017,425120000,26,2,7,20,2021,4
25,Grammarly,13,2019-10-10 00:00:00,United States,San Francisco,Internet software & services,"General Catalyst, Institutional Venture Partners, Breyer Capital",2009,400000000,8,3,10,10,2019,10
26,Devoted Health,12.6,2018-10-16 00:00:00,United States,Waltham,Health,"Andreessen Horowitz, F-Prime Capital, Venrock",2017,1969000000,16,4,10,16,2018,1
27,Faire,12.4,2019-10-30 00:00:00,United States,San Francisco,Artificial Intelligence,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",2017,1096000000,14,6,10,30,2019,2
28,Brex,12.3,2018-10-05 00:00:00,United States,San Francisco,Fintech,"DST Global, Ribbit Capital, Greenoaks Capital Management",2017,1490000000,28,7,10,5,2018,1
29,JUUL Labs,12,2017-12-20 00:00:00,United States,San Francisco,Consumer & retail,Tiger Global Management,2015,1490000000,28,7,12,20,2017,2
30,Bitmain Technologies,12,2018-07-06 00:00:00,China,Beijing,Hardware,"Coatue Management, Sequoia Capital China, IDG Capital",2015,1490000000,28,7,7,6,2018,3
31,Biosplice Therapeutics,12,2018-08-06 00:00:00,United States,San Diego,Health,"Vickers Venture Partners, IKEA GreenTech",2008,561500000,10,1,8,6,2018,10
32,GoodLeap,12,2021-10-13 00:00:00,United States,Roseville,Internet software & services,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",2003,1800000000,8,1,10,13,2021,18
33,Airtable,11.7,2018-11-15 00:00:00,United States,San Francisco,Internet software & services,"Caffeinated Capital, CRV, Founder Collective",2013,1353000000,41,6,11,15,2018,5
34,ZongMu Technology,11.4,2021-06-03 00:00:00,China,Shanghai,Auto & transportation,"LTW Capital, Legend Capital, Qualcomm Ventures",2013,210830000,19,2,6,3,2021,8
35,Global Switch,11.1,2016-12-22 00:00:00,United Kingdom,London,Hardware,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",1998,6255000000,6,2,12,22,2016,18
36,Celonis,11,2018-06-26 00:00:00,Germany,Munich,Data management & analytics,"Accel, 83North",2011,1368000000,13,4,6,26,2018,7
37,Bolt,11,2021-10-08 00:00:00,United States,San Francisco,Fintech,"Activant Capital, Tribe Capital, General Atlantic",2014,963000000,37,3,10,8,2021,7
38,Alchemy,10.2,2021-10-28 00:00:00,United States,San Francisco,Fintech,"DFJ Growth Fund, Coatue Management, Addition",2017,545000000,27,3,10,28,2021,4
40,Swiggy,10.7,2018-06-21 00:00:00,India,Bengaluru,"Supply chain, logistics, & delivery","Accel India, SAIF Partners, Norwest Venture Partners",2014,3571000000,36,12,6,21,2018,4
41,Lalamove,10,2019-02-21 00:00:00,Hong Kong,Cheung Sha Wan,"Supply chain, logistics, & delivery","MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",2013,2475000000,15,5,2,21,2019,6
42,Figma,10,2020-04-30 00:00:00,United States,San Francisco,Internet software & services,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",2012,333500000,20,6,4,30,2020,8
43,Gusto,10,2015-12-18 00:00:00,United States,San Francisco,Fintech,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",2011,691120000,70,9,12,18,2015,4
44,reddit,10,2017-07-31 00:00:00,United States,San Francisco,Internet software & services,"Y Combinator, Sequoia Capital, Coatue Management",2005,1326000000,33,5,7,31,2017,12
45,Talkdesk,10,2018-10-03 00:00:00,United States,San Francisco,Internet software & services,"DJF, Salesforce Ventures, Storm Ventures",2011,504770000,19,6,10,3,2018,7
46,Notion Labs,10,2020-04-01 00:00:00,United States,San Francisco,Internet software & services,"Index Ventures, Draft Ventures, Felicis Ventures",2016,342000000,17,3,4,1,2020,4
47,Thrasio,10,2020-07-15 00:00:00,United States,Walpole,Other,"Upper90, RiverPark Ventures, Advent International",2018,3396000000,22,5,7,15,2020,2
48,Digital Currency Group,10,2021-11-01 00:00:00,United States,New York,Fintech,"Ribbit Capital, capitalG, Softbank Group",2018,3396000000,22,5,11,1,2021,3
49,OutSystems,9.5,2018-06-05 00:00:00,United States,Boston,Internet software & services,"KKR, ES Ventures, North Bridge Growth Equity",2001,572010000,13,3,6,5,2018,17
50,ServiceTitan,9.5,2018-11-14 00:00:00,United States,Glendale,Internet software & services,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",2012,1099000000,16,6,11,14,2018,6
51,HEYTEA,9.28,2019-07-01 00:00:00,China,Shenzhen,Other,"Sequoia Capital China, Tencent Investment, BA Capital",2012,579230000,13,3,7,1,2019,7
52,N26,9.23,2019-01-10 00:00:00,Germany,Berlin,Fintech,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",2013,1722000000,21,7,1,10,2019,6
53,Klaviyo,9.2,2020-11-17 00:00:00,United States,Boston,Internet software & services,"Summit Partners, Accel, Astral Capital",2012,678500000,15,3,11,17,2020,8
54,Northvolt,9.08,2019-06-12 00:00:00,Sweden,Stockholm,Other,"Vattenfall, Volkswagen Group, Goldman Sachs",2016,6162000000,54,4,6,12,2019,3
55,Tanium,9,2015-03-31 00:00:00,United States,Kirkland,Cybersecurity,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",2007,1170000000,15,13,3,31,2015,8
56,Chehaoduo,9,2016-03-12 00:00:00,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, GX Capital",2015,4304000000,35,4,3,12,2016,1
57,Niantic,9,2017-11-24 00:00:00,United States,San Francisco,Mobile & telecommunications,"Nintendo, Google, Pokemon Company International, Spark Capital",2015,770000000,22,5,11,24,2017,2
58,OYO Rooms,9.6,2018-09-25 00:00:00,India,Gurugram,Travel,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",2012,3114000000,20,11,9,25,2018,6
59,Rapyd,8.75,2019-12-03 00:00:00,United Kingdom,London,Fintech,"Target Global, General Catalyst, Durable Capital Partners",2016,775000000,21,4,12,3,2019,3
60,Kavak,8.7,2020-10-01 00:00:00,Mexico,Lerma de Villada,E-commerce & direct-to-consumer,"DST Global, SoftBank Group, Mountain Nazca",2016,1188000000,16,4,10,1,2020,4
61,Snyk,8.6,2020-01-21 00:00:00,United States,Boston,Cybersecurity,"BOLDstart Ventures, Google Ventures, Accel",2015,1026000000,26,9,1,21,2020,5
62,Nuro,8.6,2019-02-11 00:00:00,United States,Mountain View,Auto & transportation,"SoftBank Group, Greylock Partners, Gaorong Capital",2016,2132000000,11,4,2,11,2019,3
